original_filename,new_filename,primary_use,description
"ChatGPT Image 24 сент. 2026 г., 19_05_05 (1).png",interest_technology_robotics_boy_workshop.png,Technology / Building,"Hands-on robotics, electronics, fixing/building; use for a practical technology choice."
"ChatGPT Image 24 сент. 2026 г., 19_05_05 (2).png",interest_science_microscope_girl_lab_dark_cardigan.png,Science / Investigation,"Microscope investigation in a school lab; use for curiosity, biology, research choices."
"ChatGPT Image 24 сент. 2026 г., 19_05_06 (3).png",interest_art_painting_girl_sketchbook_studio.png,Art / Creative Expression,Painting/sketchbook work in an art studio; use for visual creativity or making artwork.
"ChatGPT Image 24 сент. 2026 г., 19_05_07 (4).png",interest_helping_tutoring_older_girl_younger_girl.png,Helping / Teaching,"Older student helping a younger girl with schoolwork; use for mentoring, teaching, support."
"ChatGPT Image 24 сент. 2026 г., 19_05_09 (5).png",interest_leadership_group_presentation_whiteboard_black_shirt.png,Leadership / Organizing,"Teen leading a team discussion at a whiteboard; use for coordination, presenting, organizing."
"ChatGPT Image 24 сент. 2026 г., 19_08_03 (1).png",interest_technology_robotics_girl_workshop.png,Technology / Building,Girl assembling a robot in a maker workshop; alternate tech/building scene.
"ChatGPT Image 24 сент. 2026 г., 19_08_03 (2).png",interest_science_microscope_girl_lab_overalls.png,Science / Investigation,Girl using microscope with lab materials; alternate science/investigation scene.
"ChatGPT Image 24 сент. 2026 г., 19_08_04 (3).png",interest_art_painting_girl_canvas_studio.png,Art / Creative Expression,"Girl painting a large canvas; use for fine art, visual creativity, aesthetic expression."
"ChatGPT Image 24 сент. 2026 г., 19_08_05 (4).png",interest_helping_tutoring_older_girl_younger_boy.png,Helping / Teaching,Older student tutoring a younger boy; alternate mentoring/helping scene.
"ChatGPT Image 24 сент. 2026 г., 19_08_05 (5).png",interest_leadership_group_presentation_whiteboard_green_sweater.png,Leadership / Organizing,Girl presenting ideas to peers at a whiteboard; alternate leadership/group coordination scene.
"ChatGPT Image 24 сент. 2026 г., 19_08_06 (6).png",interest_nature_gardening_girl_planting_outdoors.png,Nature / Environment,"Teen planting in a garden; use for nature, environment, hands-on outdoor activity."
"ChatGPT Image 24 сент. 2026 г., 19_08_07 (7).png",interest_product_design_backpack_prototype_girl_workshop.png,Product Design / Making,"Teen prototyping or modifying a backpack from sketches; use for design thinking, practical creation."
"ChatGPT Image 24 сент. 2026 г., 19_08_07 (8).png",interest_data_analysis_girl_laptop_charts.png,Analysis / Data / Planning,"Teen studying charts on a laptop; use for data analysis, research, planning, problem solving."
